Date,Open,High,Low,Close,Adj Close,Volume
2020-01-27,237.000000,237.399994,234.300003,234.600006,223.127151,6837613
2020-01-28,234.750000,235.899994,230.500000,230.750000,219.465424,14582907
2020-01-29,231.500000,237.649994,231.149994,236.649994,225.076889,20469708
2020-01-30,236.949997,237.000000,233.000000,234.050003,222.604050,10394149
2020-01-31,235.750000,238.399994,234.050003,235.149994,223.650253,18455880
2020-02-03,215.000000,216.899994,205.000000,207.600006,197.447556,79764370
2020-02-04,210.800003,217.600006,209.149994,215.649994,205.103867,35767812
2020-02-05,216.300003,217.500000,211.500000,216.449997,205.864746,21253607
2020-02-06,218.000000,219.899994,211.800003,213.550003,203.106583,27388582
2020-02-07,213.800003,215.699997,212.750000,213.399994,202.963913,17133407
2020-02-10,214.000000,214.050003,210.050003,210.550003,200.253296,9617387
2020-02-11,216.500000,216.949997,211.800003,212.600006,202.203033,29803784
2020-02-12,213.399994,214.800003,211.800003,213.050003,202.631027,9928416
2020-02-13,213.050003,213.449997,211.199997,211.899994,201.537262,9153131
2020-02-14,212.250000,212.899994,206.800003,207.699997,197.542664,13731692
2020-02-17,208.000000,208.649994,204.000000,204.800003,194.784485,15561953
2020-02-18,204.550003,204.600006,200.500000,203.850006,193.880951,20934864
2020-02-19,205.250000,207.149994,203.850006,206.699997,196.591568,9054560
2020-02-20,207.000000,208.550003,205.449997,207.449997,197.304886,15592846
2020-02-24,207.000000,207.449997,201.800003,203.000000,193.072510,16594046
2020-02-25,203.800003,205.399994,201.500000,201.800003,191.931198,15313516
2020-02-26,200.649994,201.949997,196.300003,198.600006,188.887695,17869240
2020-02-27,198.399994,199.149994,195.899994,197.550003,187.889038,17271066
2020-02-28,195.000000,199.899994,192.050003,197.550003,187.889038,32628444
2020-03-02,199.500000,203.449997,193.649994,195.300003,185.749069,18560049
2020-03-03,197.000000,197.449997,192.550003,193.850006,184.369995,17947416
2020-03-04,194.949997,195.550003,186.550003,187.500000,178.330521,27664076
2020-03-05,187.550003,191.199997,186.550003,188.050003,178.853622,20025924
2020-03-06,184.850006,184.850006,179.750000,181.750000,172.861725,26764504
2020-03-09,179.000000,179.000000,174.500000,177.199997,168.534225,21794299
2020-03-11,174.000000,176.750000,172.350006,175.649994,167.060028,27956087
2020-03-12,169.000000,169.149994,150.550003,155.800003,148.180771,52039692
2020-03-13,150.000000,164.000000,134.600006,162.250000,154.315338,61590681
2020-03-16,158.000000,158.100006,145.250000,147.250000,140.048904,33254907
2020-03-17,148.000000,155.800003,146.050003,149.149994,141.855988,47657482
2020-03-18,152.100006,154.649994,147.350006,150.699997,143.330185,50243331
2020-03-19,150.699997,163.550003,144.750000,161.850006,153.934906,89748454
2020-03-20,165.100006,176.500000,165.100006,175.500000,166.917374,61996400
2020-03-23,158.000000,162.000000,149.199997,154.300003,146.754135,51353150
2020-03-24,162.949997,163.699997,147.399994,149.699997,142.379089,52552796
2020-03-25,151.000000,152.000000,139.000000,147.350006,140.144012,62505978
2020-03-26,150.000000,159.399994,143.250000,156.399994,148.751434,58443451
2020-03-27,162.000000,166.000000,155.000000,163.199997,155.218887,32636484
2020-03-30,156.050003,164.899994,156.050003,159.199997,151.414505,28120340
2020-03-31,164.000000,173.850006,161.550003,171.699997,163.303207,42630666
2020-04-01,171.699997,172.750000,164.550003,166.399994,158.262390,18141970
2020-04-03,167.899994,182.750000,167.000000,177.899994,169.199997,62867436
2020-04-07,185.699997,185.699997,173.649994,181.550003,172.671509,36118591
2020-04-08,180.850006,184.000000,176.649994,178.649994,169.913315,37561082
2020-04-09,184.000000,186.250000,180.000000,185.250000,176.190552,42626960
2020-04-13,184.500000,186.649994,181.050003,181.600006,172.719055,17744169
2020-04-15,184.050003,193.750000,182.699997,189.350006,180.090057,49092699
2020-04-16,189.649994,191.199997,185.449997,186.350006,177.236771,27080032
2020-04-17,190.449997,191.399994,186.949997,188.100006,178.901184,26667421
2020-04-20,189.949997,189.949997,179.500000,180.699997,171.863068,35764287
2020-04-21,178.000000,184.300003,176.050003,179.600006,170.816864,23333661
2020-04-22,179.000000,183.550003,176.000000,182.250000,173.337265,25163402
2020-04-23,182.949997,184.000000,179.649994,180.550003,171.720413,32968029
2020-04-24,181.000000,182.800003,179.300003,180.050003,171.244858,18049697
2020-04-27,180.250000,182.300003,179.300003,179.850006,171.054642,13085703
2020-04-28,180.000000,180.800003,178.050003,179.449997,170.674194,17802635
2020-04-29,180.500000,182.899994,179.649994,182.149994,173.242157,21461067
2020-04-30,184.899994,184.899994,180.449997,182.050003,173.147049,30164713
2020-05-04,181.750000,181.750000,170.649994,174.050003,165.538284,30294317
2020-05-05,175.000000,177.449997,172.000000,173.899994,165.395615,17707577
2020-05-06,171.399994,171.399994,160.500000,163.899994,155.884644,65586734
